"PC1" "PC2" "PC3"
"Sample1" 10.6335068819194 -108.894335319821 38.5987870772671
"Sample2" 91.9723625842995 -128.154676319571 -15.8040013662688
"Sample3" 4.46263302154604 -59.4051904012492 8.51317814021822
"Sample4" 32.6565899670306 -201.164091156591 -50.3201856542918
"Sample5" 0.0495942164159281 -122.513040198456 -13.5294014099194
"Sample6" 217.840326971844 173.330621261237 352.490718666394
"Sample7" 65.5975296265401 -65.4062459618031 47.2966962421606
"Sample8" -42.3054414448366 -23.9336422799807 8.26840520823336
"Sample9" 29.8100120713609 -91.2858789482991 10.7334865391862
"Sample10" 57.240945812716 -105.27690752798 2.41494072874401
"Sample11" -216.559634726852 148.510398733101 13.7993401657287
"Sample12" 76.3906002468126 -259.743644722595 -76.4471660683944
"Sample13" 368.638405547409 158.933178928426 468.186511214023
"Sample14" 349.779544437555 160.415179144633 436.374900925058
"Sample15" 387.944456927333 198.886479104779 419.09129784419
"Sample16" 241.683425309077 63.9192151113371 308.425843355856
"Sample17" 19.1411361128835 -79.753687924648 49.7275767099059
"Sample18" 54.0476608371013 -74.4034078962159 45.896931654826
"Sample19" 49.4763487733189 -80.417107965549 19.8728679994101
"Sample20" 425.18716075871 317.883896644282 -273.879196532187
"Sample21" 484.164969106054 368.831221151234 -271.035684219851
"Sample22" 54.8876393083755 -213.967845387927 -76.9051368504853
"Sample23" 4.84587712614292 -41.3060781551014 21.7688395906716
"Sample24" 232.516197751402 82.8728259683588 83.6193546403214
"Sample25" 105.820227276637 -119.765847613777 -37.7395523460463
"Sample26" 317.601943058378 155.854944083667 -21.4894124772347
"Sample27" 164.551432238965 77.748363331979 -17.7447800534535
"Sample28" 419.425451508691 313.137907422346 -222.19953060544
"Sample29" 448.750161302984 251.290176578824 480.735337760131
"Sample30" 89.4962400483252 -29.0471747790264 17.9617019620379
"Sample31" 59.3398261928102 -37.0600734267602 10.3448631186367
"Sample32" 229.67007068661 41.5457991015526 -176.825210442886
"Sample33" 162.048113164932 -22.195523819044 107.688768379518
"Sample34" 71.3602892718472 -113.376862520881 -33.6834475756994
"Sample35" -4.89887424728943 -60.8959189264973 29.8340095768005
"Sample36" 262.405099228463 191.447250452707 416.426067892634
"Sample37" 333.206338932338 195.799849095867 488.426898895639
"Sample38" 512.640662749615 394.862119151548 -285.628279436615
"Sample39" 509.724591300018 392.514617545436 -285.096089739925
"Sample40" 70.7845126802181 -68.3164742098873 23.3483277629749
"Sample41" 166.53619781105 22.7361212787811 -183.537511990703
"Sample42" -8.14817720475122 -125.871656697503 -23.5829788427379
"Sample43" 117.29744358342 -62.6264073757614 98.3786590724401
"Sample44" 320.746676414815 183.030377099557 26.3043469772841
"Sample45" 50.4651327777759 -67.8119799713638 1.05088371687349
"Sample46" 29.48790258364 -271.385172437173 -115.527952723588
"Sample47" 8.24086117234436 -196.76501419952 -74.1694508692092
"Sample48" 49.3430075686431 -84.9656308601624 56.1687820792588
"Sample49" 48.5408123328587 -56.7150209901821 49.0448809679684
"Sample50" 40.8327293012305 -68.5804869981893 62.4621843584558
"Sample51" 114.421388325849 -47.9064228442145 -88.9739572773493
"Sample52" 120.105311798346 8.28550792687503 28.6107899504356
"Sample53" -9.09936865134816 -10.9584199677408 16.3634601171929
